assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,yellow_cards,player_name_id_x,position,date,shots,xG,xA,key_passes,npg,npxG,xGChain,xGBuildup,team_name,conceded,h_a,xG_team,xGA,npxG_team,npxGA,scored,missed,pts,npxGD,conceded_team,rolling_team_pts,diff_team_xG,diff_team_xGA,diff_team_scored,diff_team_missed,diff_team_conceded,diff_team_pts,attack_overall,defence_overall,attack_difficulty,defence_difficulty,opposition_attack_difficulty,opposition_defence_difficulty
0.0,0.0,0.0,1.0,0.0,90.0,Liverpool,0.0,0.0,0.0,0.0,28,0.0,2.0,0.0,Aaron_Cresswell_411,def,2022-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.4697805047035217,0.4697805047035217,West Ham,1.0,a,1.33829,2.18865,1.33829,2.18865,0.0,1.0,0.0,-0.85036,1.0,1.6,0.22005260000000004,0.08601600000000009,0.0,0.0,0.0,0.0,1.2917718,1.9511292000000002,3,4,5.0,5.0
0.0,0.0,0.0,0.0,0.0,56.0,Aston Villa,0.0,0.0,0.0,0.0,29,0.0,1.0,0.0,Aaron_Cresswell_411,def,2022-03-13,0.0,0.0,0.0989132598042488,2.0,0.0,0.0,0.1208276078104972,0.0743502676486969,West Ham,1.0,h,1.58468,1.05391,1.58468,1.05391,2.0,1.0,3.0,0.5307700000000002,1.0,1.6,0.1359073999999998,0.1436871999999998,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.0,1.4276792,2.2948164,3,3,4.0,4.0
0.0,0.0,0.0,3.0,0.0,90.0,Tottenham,0.0,0.0,0.0,0.0,30,0.0,1.0,0.0,Aaron_Cresswell_411,def,2022-03-20,0.0,0.0,0.1001494005322456,1.0,0.0,0.0,0.1368027031421661,0.0366533026099205,West Ham,3.0,a,0.644964,2.54795,0.644964,2.54795,1.0,3.0,0.0,-1.9029860000000005,3.0,1.4,-0.02002079999999995,0.22820400000000007,-0.19999999999999996,0.19999999999999996,0.19999999999999996,-0.20000000000000018,1.0076583999999997,2.7230204000000002,1,3,5.0,5.0
0.0,2.0,0.0,1.0,1.0,90.0,Everton,0.0,0.0,0.0,0.0,31,0.0,9.0,1.0,Aaron_Cresswell_411,def,2022-04-03,2.0,0.1403529495000839,0.0,0.0,1.0,0.1403529495000839,0.1264320462942123,0.1264320462942123,West Ham,1.0,h,1.49657,0.657846,1.49657,0.657846,2.0,1.0,3.0,0.8387239999999999,1.0,1.8,0.12972439999999996,-0.05494559999999993,0.19999999999999996,0.0,0.0,0.40000000000000013,1.3373827999999996,2.6680748000000003,3,3,1.0,2.0
0.0,0.0,0.0,2.0,0.0,90.0,Brentford,0.0,0.0,0.0,0.0,32,0.0,1.0,0.0,Aaron_Cresswell_411,def,2022-04-10,1.0,0.025711715221405,0.0082337753847241,1.0,0.0,0.025711715221405,0.0082337753847241,0.0,West Ham,2.0,a,0.244824,1.85534,0.244824,1.85534,0.0,2.0,0.0,-1.610516,2.0,1.2,-0.2755171999999999,0.19266439999999996,-0.19999999999999996,0.40000000000000013,0.40000000000000013,-0.6000000000000001,0.4618655999999999,3.2607392,2,2,5.0,5.0
0.0,0.0,0.0,1.0,0.0,90.0,Burnley,0.0,0.0,0.0,0.0,33,0.0,2.0,0.0,Aaron_Cresswell_411,def,2022-04-17,1.0,0.0309012364596128,0.0995944291353225,1.0,0.0,0.0309012364596128,0.7731813788414001,0.7731813788414001,West Ham,1.0,h,2.79175,1.88137,2.79175,1.1202,1.0,1.0,1.0,1.67155,1.0,1.4,0.29069199999999995,-0.06145600000000018,0.19999999999999996,0.0,0.0,0.19999999999999996,0.9525576,3.1992832,3,2,1.0,1.0
0.0,0.0,0.0,1.0,0.0,90.0,Chelsea,0.0,0.0,0.0,0.0,34,0.0,2.0,0.0,Aaron_Cresswell_411,def,2022-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.1310548335313797,0.1310548335313797,West Ham,1.0,a,0.388975,2.34959,0.388975,1.58842,0.0,1.0,0.0,-1.199445,1.0,0.8,-0.23914099999999983,0.25913600000000026,-0.3999999999999999,0.0,0.0,-0.5999999999999999,0.31341660000000005,3.4584192000000002,2,2,4.0,3.0
0.0,0.0,0.0,2.0,0.0,90.0,Arsenal,0.0,0.0,0.0,0.0,35,0.0,0.0,1.0,Aaron_Cresswell_411,def,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.1209590435028076,0.1209590435028076,West Ham,2.0,h,0.451976,0.964564,0.451976,0.964564,1.0,2.0,0.0,-0.512588,2.0,0.8,-0.0385975999999999,-0.3166772000000002,0.0,-0.20000000000000018,-0.20000000000000018,0.0,0.4748190000000003,2.9417419999999996,2,2,4.0,3.0
0.0,0.0,1.0,0.0,0.0,90.0,Norwich,0.0,0.0,0.0,0.0,36,0.0,6.0,0.0,Aaron_Cresswell_411,def,2022-05-08,0.0,0.0,0.6302289962768555,1.0,0.0,0.0,0.8128088712692261,0.8128088712692261,West Ham,0.0,a,3.25894,0.77895,2.49777,0.77895,4.0,0.0,3.0,1.71882,0.0,0.8,0.35247399999999973,0.02422079999999993,0.3999999999999999,-0.19999999999999996,-0.19999999999999996,0.0,1.427293,2.7659627999999996,4,3,1.0,1.0
0.0,0.0,0.0,2.0,0.0,90.0,Manchester City,0.0,0.0,0.0,0.0,37,0.0,1.0,0.0,Aaron_Cresswell_411,def,2022-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham,2.0,h,1.0088,2.14723,1.0088,1.38606,2.0,2.0,1.0,-0.3772600000000001,2.0,1.0,0.1527951999999999,0.05837800000000026,0.40000000000000013,0.0,0.0,0.19999999999999996,1.9800882000000002,2.8243408,3,2,5.0,5.0
